,Gender,Age,Profession,Region,Work_Experience(yrs),Models_Used,Models1,Models2,Models3,Models4,Models5,Models6,Mode_of_Access,Mode 1,Mode 2,Mode 3,Mode 4,Tasks,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
24,Male,26 – 35,Nurse,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing,,
25,Male,26 – 35,Nurse,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing,,
26,Female,26 – 35,Pharmacist,Greater Accra,More than 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,"Medical information research, Prescription and dosage writing, Therapy decision support",Medical information research, Prescription and dosage writing, Therapy decision support,,,,
27,Male,26 – 35,Pharmacist,Greater Accra,More than 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,"Medical information research, Prescription and dosage writing, Therapy decision support",Medical information research, Prescription and dosage writing, Therapy decision support,,,,
28,Male,18 – 25,Medical Doctor,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation
29,Male,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation
30,Female,18 – 25,Medical Doctor,Eastern,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
31,Female,18 – 25,Medical Doctor,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
32,Male,26 – 35,Medical Doctor,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Gemini AI",ChatGPT, Microsoft Copilot, Gemini AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Prescription and dosage writing, Therapy decision support",Medical information research, Prescription and dosage writing, Therapy decision support,,,,
33,Male,26 – 35,Medical Doctor,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Gemini AI",ChatGPT, Microsoft Copilot, Gemini AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Prescription and dosage writing, Therapy decision support",Medical information research, Prescription and dosage writing, Therapy decision support,,,,
34,Female,18 – 25,Medical Doctor,Central,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,,,,,,,,
35,Female,18 – 25,Medical Doctor,Northern,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,,,,,,,,
36,Male,26 – 35,Optometrist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis",Medical information research, Diagnosis,,,,,
37,Female,26 – 35,Optometrist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis",Medical information research, Diagnosis,,,,,
38,Female,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
39,Male,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
40,Female,36 – 45,Dietitian,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
41,Male,36 – 45,Dietitian,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
42,Male,26 – 35,Dietitian,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI,Online Platforms or websites,Online Platforms or websites,,,,Administrative writing,Administrative writing,,,,,,
43,Male,26 – 35,Dietitian,Ashanti,3 – 5 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI,Online Platforms or websites,Online Platforms or websites,,,,Administrative writing,Administrative writing,,,,,,
44,Female,36 – 45,Dietitian,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
45,Female,36 – 45,Dietitian,Western North,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
46,Male,26 – 35,Dietitian,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing,,
47,Male,26 – 35,Dietitian,Ashanti,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing,,
48,Male,36 – 45,Dietitian,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services",Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Language translation,,
49,Male,36 – 45,Dietitian,Ashanti,3 – 5 years,ChatGPT,ChatGPT,,,,,,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services",Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Language translation,,
50,Male,26 – 35,Dietitian,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,"Online Platforms or websites, Mobile apps, Subscription-based services",Online Platforms or websites, Mobile apps, Subscription-based services,,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation,
51,Male,26 – 35,Dietitian,Brong Ahafo,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,"Online Platforms or websites, Mobile apps, Subscription-based services",Online Platforms or websites, Mobile apps, Subscription-based services,,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation,
52,Female,26 – 35,Medical Doctor,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,,,,,,,,
53,Female,26 – 35,Medical Doctor,Eastern,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,,,,,,,,
54,Female,26 – 35,Medical Laboratory Scientist,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
55,Female,26 – 35,Medical Laboratory Scientist,Ashanti,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
56,Male,36 – 45,Dietitian,Volta,More than 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
57,Male,36 – 45,Dietitian,Western North,More than 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
58,Male,26 – 35,Physiotherapist,Greater Accra,3 – 5 years,"ChatGPT, Google’s BERT, Meta AI",ChatGPT, Google’s BERT, Meta AI,,,,Mobile apps,Mobile apps,,,,"Medical information research, Diagnosis, Administrative writing, Therapy decision support",Medical information research, Diagnosis, Administrative writing, Therapy decision support,,,
59,Male,26 – 35,Physiotherapist,Ashanti,3 – 5 years,"ChatGPT, Google’s BERT, Meta AI",ChatGPT, Google’s BERT, Meta AI,,,,Mobile apps,Mobile apps,,,,"Medical information research, Diagnosis, Administrative writing, Therapy decision support",Medical information research, Diagnosis, Administrative writing, Therapy decision support,,,
60,Female,26 – 35,Nutritionist,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,Medical information research,Medical information research,,,,,,
61,Male,26 – 35,Nutritionist,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,Medical information research,Medical information research,,,,,,
62,Male,36 – 45,Dietitian,Greater Accra,6 – 10 years,"ChatGPT, Meta AI, Gemini AI",ChatGPT, Meta AI, Gemini AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Therapy decision support,Therapy decision support,,,,,,
63,Male,36 – 45,Dietitian,Eastern,6 – 10 years,"ChatGPT, Meta AI, Gemini AI",ChatGPT, Meta AI, Gemini AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Therapy decision support,Therapy decision support,,,,,,
64,Male,26 – 35,Medical Doctor,Ashanti,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Language translation,Language translation,,,,,,
65,Male,26 – 35,Medical Doctor,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Language translation,Language translation,,,,,,
66,Female,26 – 35,Nurse,Greater Accra,3 – 5 years,Google’s BERT,Google’s BERT,,,,,,Mobile apps,Mobile apps,,,,Diagnosis,Diagnosis,,,,,,
67,Female,26 – 35,Nurse,Eastern,3 – 5 years,Google’s BERT,Google’s BERT,,,,,,Mobile apps,Mobile apps,,,,Diagnosis,Diagnosis,,,,,,
68,Male,26 – 35,Medical Doctor,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Mobile apps,Mobile apps,,,,Medical information research,Medical information research,,,,,,
69,Female,26 – 35,Medical Doctor,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Mobile apps,Mobile apps,,,,Medical information research,Medical information research,,,,,,
70,Female,26 – 35,Dietitian,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
71,Male,26 – 35,Dietitian,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
72,Female,26 – 35,Nutritionist,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,,,,,,,,
73,Female,26 – 35,Nutritionist,Central,3 – 5 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,,,,,,,,
74,Male,26 – 35,Nutritionist,Bono East,6 – 10 years,Claude AI,Claude AI,,,,,,Non,Non,,,,Clinical documentation of patient information,Clinical documentation of patient information,,,,,,
75,Male,26 – 35,Nutritionist,Ashanti,6 – 10 years,Claude AI,Claude AI,,,,,,Non,Non,,,,Clinical documentation of patient information,Clinical documentation of patient information,,,,,,
76,Female,26 – 35,Physiotherapist,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,Therapy decision support,Therapy decision support,,,,,,
77,Male,26 – 35,Physiotherapist,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,Therapy decision support,Therapy decision support,,,,,,
78,Female,26 – 35,Medical Doctor,Greater Accra,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps, Subscription-based services",Online Platforms or websites, Mobile apps, Subscription-based services,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support,
79,Female,26 – 35,Medical Doctor,Ashanti,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps, Subscription-based services",Online Platforms or websites, Mobile apps, Subscription-based services,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support,
80,Male,26 – 35,Physician Assistant,Central,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Mobile apps,Mobile apps,,,,Administrative writing,Administrative writing,,,,,,
81,Male,26 – 35,Physician Assistant,North East,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Mobile apps,Mobile apps,,,,Administrative writing,Administrative writing,,,,,,
82,Female,36 – 45,Nurse,Greater Accra,More than 10 years,Meta AI,Meta AI,,,,,,Mobile apps,Mobile apps,,,,"Medical information research, Language translation",Medical information research, Language translation,,,,,
83,Female,36 – 45,Nurse,Ashanti,More than 10 years,Meta AI,Meta AI,,,,,,Mobile apps,Mobile apps,,,,"Medical information research, Language translation",Medical information research, Language translation,,,,,
84,Female,26 – 35,Medical Laboratory Scientist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot",ChatGPT, Microsoft Copilot,,,,,Mobile apps,Mobile apps,,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
85,Female,26 – 35,Medical Laboratory Scientist,Ashanti,3 – 5 years,"ChatGPT, Microsoft Copilot",ChatGPT, Microsoft Copilot,,,,,Mobile apps,Mobile apps,,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
86,Female,26 – 35,Midwife,Greater Accra,Less than 3 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing,,
87,Female,26 – 35,Midwife,Eastern,Less than 3 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing,,
88,Female,36 – 45,Medical Doctor,Greater Accra,6 – 10 years,ChatGPT,ChatGPT,,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Language translation,Language translation,,,,,,
89,Male,36 – 45,Medical Doctor,Greater Accra,6 – 10 years,ChatGPT,ChatGPT,,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Language translation,Language translation,,,,,,
90,Female,18 – 25,Medical Doctor,Ashanti,Less than 3 years,ChatGPT,ChatGPT,,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Diagnosis,Diagnosis,,,,,,
91,Female,18 – 25,Medical Doctor,Central,Less than 3 years,ChatGPT,ChatGPT,,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Diagnosis,Diagnosis,,,,,,
92,Male,18 – 25,Pharmacist,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis",Medical information research, Diagnosis,,,,,
93,Male,18 – 25,Pharmacist,Western North,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis",Medical information research, Diagnosis,,,,,
94,Female,18 – 25,Pharmacist,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,"Administrative writing, Therapy decision support, Language translation",Administrative writing, Therapy decision support, Language translation,,,,
95,Female,18 – 25,Pharmacist,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,"Administrative writing, Therapy decision support, Language translation",Administrative writing, Therapy decision support, Language translation,,,,
96,Female,26 – 35,Nurse,Greater Accra,3 – 5 years,"ChatGPT, Google’s BERT, Meta AI",ChatGPT, Google’s BERT, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Language translation",Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Language translation,,,
