,Gender,Age,Profession,Region,Years_of_Experience,Prior_Awareness,Known_Models,Understanding_Rating,Understanding_1,Understanding_2,Understanding_3,Understanding_4,Understanding_5,Access_At_Work,Access_Route,Considered_Use,Use,Specific_Uses,Track_Important_Details,Find_Quick_Answers,Brainstorm_&_Diagnose,Generate_Prescriptions,Summarise_Research_Articles,Create_Educational_Materials,Treatment_Recommendations,Find_Quick_Answers_2,Brainstorm_&_Diagnose_2,Generate_Prescriptions_2,Summarise_Research_Articles_2,Create_Educational_Materials_2,Treatment_Recommendations_2,Daily_LLMs_Usage(mins),Daily_CCLs_Usage(mins),23. LLMs help me achieve my healthcare delivery goals. ,24. LLMs reduce my workload and save me time.,25. LLMs help me make informed and timely decisions.,26. LLMs keep me updated on healthcare related information.,27. LLMs are easily accessible and user-friendly. ,28. LLMs are trusted tools that uphold patient privacy and confidentiality. ,29. I am willing to take decisions based on the recommendations provided by LLMs.,30. The benefits of using LLMs outweigh any potential risks.,31. I am satisfied with LLMs.  ,32. I will recommend the use of LLMs by my colleagues in healthcare delivery. ,Preference,LLMs_Preferred_Aspects,CCLs_Preferred_Aspects,Areas_Of_Impact,Suggested_Improvement
12,Male,36 – 45,Medical Doctor,Ashanti,More than 10 years,No,"ChatGPT, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,5,5,3,5,Yes,Online Platforms or websites,Yes,Yes,Medical information research,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,30,30,1,3,1,3,5,1,1,1,3,2,Neutral,Not applicable ,Not applicable ,In research but not in routine clinical practice ,There should be a robust ethical and legal framework for its use in healthcare 
13,Male,36 – 45,Medical Doctor,Volta,More than 10 years,No,"ChatGPT, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,5,5,3,5,Yes,Online Platforms or websites,Yes,Yes,Medical information research,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,30,30,1,3,1,3,5,1,1,1,3,2,Neutral,Not applicable ,Not applicable ,In research but not in routine clinical practice ,There should be a robust ethical and legal framework for its use in healthcare 
14,Female,26 – 35,Psychologist,Greater Accra,6 – 10 years,Maybe,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,4,4,1,3,Yes,"Online Platforms or websites, Mobile apps",No,No,"Medical information research, Administrative writing, Therapy decision support",Rarely,Occasionally,Frequently,Rarely,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,5,5,4,4,4,4,4,3,3,3,4,3,Neutral,,,,
15,Female,26 – 35,Psychologist,Central,6 – 10 years,Maybe,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,4,4,1,3,Yes,"Online Platforms or websites, Mobile apps",No,No,"Medical information research, Administrative writing, Therapy decision support",Rarely,Occasionally,Frequently,Rarely,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,5,5,4,4,4,4,4,3,3,3,4,3,Neutral,,,,
16,Female,18 – 25,Medical Doctor,Ashanti,Less than 3 years,Yes,"ChatGPT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,4,4,1,4,Yes,Online Platforms or websites,Yes,Yes,Medical information research,Never,Rarely,Never,Never,Never,Never,Never,Occasionally,Never,Rarely,Never,Never,Occasionally,5,2,3,3,2,2,4,3,2,3,3,3,No,,They are more accurate,Searched for health related information,Update of information to reflect the current treatment guidelines
17,Female,18 – 25,Medical Doctor,Bono East,Less than 3 years,Yes,"ChatGPT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,4,4,1,4,Yes,Online Platforms or websites,Yes,Yes,Medical information research,Never,Rarely,Never,Never,Never,Never,Never,Occasionally,Never,Rarely,Never,Never,Occasionally,5,2,3,3,2,2,4,3,2,3,3,3,No,,They are more accurate,Searched for health related information,Update of information to reflect the current treatment guidelines
18,Female,26 – 35,Medical Doctor,Greater Accra,Less than 3 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,5,2,4,1,5,No,"Online Platforms or websites, Mobile apps",No,No,Research work,Never,"Never, Rarely",Never,Rarely,Occasionally,Never,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,2,30,3,3,3,3,3,3,2,3,2,3,Neutral,,,,
19,Female,26 – 35,Medical Doctor,Ashanti,Less than 3 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,5,2,4,1,5,No,"Online Platforms or websites, Mobile apps",No,No,Research work,Never,"Never, Rarely",Never,Rarely,Occasionally,Never,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,2,30,3,3,3,3,3,3,2,3,2,3,Neutral,,,,
20,Male,36 – 45,Medical Doctor,Ashanti,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,5,1,1,1,4,Yes,Online Platforms or websites,No,Maybe,Medical information research,Never,Occasionally,Rarely,Never,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,Occasionally,Occasionally,Frequently,60,30,3,5,3,4,5,2,2,2,4,3,No,,Inaccuracies,Synthesizng information from unstructured clinical data,A robust clinical governance system
21,Male,36 – 45,Medical Doctor,Greater Accra,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,5,1,1,1,4,Yes,Online Platforms or websites,No,Maybe,Medical information research,Never,Occasionally,Rarely,Never,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,Occasionally,Occasionally,Frequently,60,30,3,5,3,4,5,2,2,2,4,3,No,,Inaccuracies,Synthesizng information from unstructured clinical data,A robust clinical governance system
22,Male,36 – 45,Pharmacist,Bono East,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI, Quillbot",2 -  I know a bit about LLMs but not a lot,4,5,5,1,4,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Medical information research, Administrative writing",Never,"Rarely, Frequently",Occasionally,Never,Always,Never,Never,Frequently,"Occasionally, Frequently","Never, Rarely",Frequently,Frequently,Frequently,10,20,4,5,5,3,5,3,4,3,4,4,Yes,Reviews,Not Applicable ,Training healthcare professionals,
23,Male,36 – 45,Pharmacist,Ashanti,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI, Quillbot",2 -  I know a bit about LLMs but not a lot,4,5,5,1,4,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Medical information research, Administrative writing",Never,"Rarely, Frequently",Occasionally,Never,Always,Never,Never,Frequently,"Occasionally, Frequently","Never, Rarely",Frequently,Frequently,Frequently,10,20,4,5,5,3,5,3,4,3,4,4,Yes,Reviews,Not Applicable ,Training healthcare professionals,
24,Male,26 – 35,Nurse,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,3,3,4,1,3,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Occasionally,Rarely,Occasionally,Never,Never,Rarely,Never,Frequently,Rarely,Frequently,"Never, Always",Occasionally,Frequently,180,120,1,1,2,2,2,2,2,3,2,1,Neutral,,,Nephrology and Cardiology departments ,
25,Male,26 – 35,Nurse,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,3,3,4,1,3,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Occasionally,Rarely,Occasionally,Never,Never,Rarely,Never,Frequently,Rarely,Frequently,"Never, Always",Occasionally,Frequently,180,120,1,1,2,2,2,2,2,3,2,1,Neutral,,,Nephrology and Cardiology departments ,
26,Female,26 – 35,Pharmacist,Greater Accra,More than 10 years,Maybe,"ChatGPT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,4,3,4,1,4,Yes,Mobile apps,No,Yes,"Medical information research, Prescription and dosage writing, Therapy decision support",Never,Occasionally,Never,Occasionally,Never,Never,Frequently,Always,Frequently,Always,Frequently,Occasionally,Always,30,60,4,4,4,4,4,4,4,3,4,4,Neutral,Responses are quicker ,Seems more of a reliable reference material ,,
27,Male,26 – 35,Pharmacist,Greater Accra,More than 10 years,Maybe,"ChatGPT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,4,3,4,1,4,Yes,Mobile apps,No,Yes,"Medical information research, Prescription and dosage writing, Therapy decision support",Never,Occasionally,Never,Occasionally,Never,Never,Frequently,Always,Frequently,Always,Frequently,Occasionally,Always,30,60,4,4,4,4,4,4,4,3,4,4,Neutral,Responses are quicker ,Seems more of a reliable reference material ,,
28,Male,18 – 25,Medical Doctor,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,1,5,1,5,Yes,"Online Platforms or websites, Mobile apps",Yes,No,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",Never,Occasionally,Occasionally,Never,Occasionally,Never,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Never,Frequently,5,5,4,3,4,3,4,2,4,4,4,4,No,,LLM are still prone to making hallucinations if unsure about my questions. ,,
29,Male,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,1,5,1,5,Yes,"Online Platforms or websites, Mobile apps",Yes,No,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",Never,Occasionally,Occasionally,Never,Occasionally,Never,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Never,Frequently,5,5,4,3,4,3,4,2,4,4,4,4,No,,LLM are still prone to making hallucinations if unsure about my questions. ,,
30,Female,18 – 25,Medical Doctor,Eastern,Less than 3 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,5,5,5,1,5,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,Never,Frequently,Frequently,Never,Occasionally,Occasionally,Occasionally,Always,Occasionally,Never,Never,Occasionally,Always,30,180,3,4,4,4,4,2,3,4,4,4,No,,They provide approved standards and protocols,,
31,Female,18 – 25,Medical Doctor,Ashanti,Less than 3 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,5,5,5,1,5,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,Never,Frequently,Frequently,Never,Occasionally,Occasionally,Occasionally,Always,Occasionally,Never,Never,Occasionally,Always,30,180,3,4,4,4,4,2,3,4,4,4,No,,They provide approved standards and protocols,,
32,Male,26 – 35,Medical Doctor,Ashanti,Less than 3 years,Maybe,"ChatGPT, Microsoft Copilot, Gemini AI",2 -  I know a bit about LLMs but not a lot,4,4,4,2,4,No,"Online Platforms or websites, Mobile apps",No,No,"Medical information research, Prescription and dosage writing, Therapy decision support",Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,30,40,3,4,3,3,3,3,3,3,4,3,Yes,"Speed
",,Surgery ,
33,Male,26 – 35,Medical Doctor,Greater Accra,Less than 3 years,Maybe,"ChatGPT, Microsoft Copilot, Gemini AI",2 -  I know a bit about LLMs but not a lot,4,4,4,2,4,No,"Online Platforms or websites, Mobile apps",No,No,"Medical information research, Prescription and dosage writing, Therapy decision support",Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,30,40,3,4,3,3,3,3,3,3,4,3,Yes,"Speed
",,Surgery ,
34,Female,18 – 25,Medical Doctor,Central,Less than 3 years,Maybe,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,3,4,3,2,Yes,"Online Platforms or websites, Mobile apps",No,No,,Never,Never,Never,Never,Never,Never,Never,"Never, Frequently","Never, Occasionally","Never, Rarely",Never,Never,"Never, Occasionally",0,10,3,4,4,3,4,3,3,3,3,3,Neutral,,,,
35,Female,18 – 25,Medical Doctor,Northern,Less than 3 years,Maybe,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,3,4,3,2,Yes,"Online Platforms or websites, Mobile apps",No,No,,Never,Never,Never,Never,Never,Never,Never,"Never, Frequently","Never, Occasionally","Never, Rarely",Never,Never,"Never, Occasionally",0,10,3,4,4,3,4,3,3,3,3,3,Neutral,,,,
36,Male,26 – 35,Optometrist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,5,3,1,5,No,"Online Platforms or websites, Mobile apps",Yes,No,"Medical information research, Diagnosis",Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Always,Always,30,60,4,4,4,4,4,2,4,2,4,4,Neutral,,,,
37,Female,26 – 35,Optometrist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,5,3,1,5,No,"Online Platforms or websites, Mobile apps",Yes,No,"Medical information research, Diagnosis",Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Always,Always,30,60,4,4,4,4,4,2,4,2,4,4,Neutral,,,,
38,Female,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,No,ChatGPT,1  - I know very little to nothing about LLMs,4,4,3,2,3,No,Online Platforms or websites,No,No,Medical information research,Never,Occasionally,Occasionally,Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,30,60,3,3,4,4,4,3,3,2,3,3,Neutral,,,,
39,Male,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,No,ChatGPT,1  - I know very little to nothing about LLMs,4,4,3,2,3,No,Online Platforms or websites,No,No,Medical information research,Never,Occasionally,Occasionally,Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,30,60,3,3,4,4,4,3,3,2,3,3,Neutral,,,,
40,Female,36 – 45,Dietitian,Greater Accra,6 – 10 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,5,4,3,3,5,Yes,Online Platforms or websites,No,Yes,Medical information research,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Always,Always,Always,Always,Always,Always,10,30,3,5,3,5,5,3,3,3,4,4,Neutral,,,Research ,Stream line information 
41,Male,36 – 45,Dietitian,Greater Accra,6 – 10 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,5,4,3,3,5,Yes,Online Platforms or websites,No,Yes,Medical information research,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Always,Always,Always,Always,Always,Always,10,30,3,5,3,5,5,3,3,3,4,4,Neutral,,,Research ,Stream line information 
42,Male,26 – 35,Dietitian,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,4,5,4,1,4,Yes,Online Platforms or websites,No,No,Administrative writing,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,10,50,2,3,3,2,4,1,1,1,2,1,Neutral,,LLM hallucinate information and sources ,Laboratory and Radiological diagnostics and reports ,Privacy and on site hosting of client's information 
43,Male,26 – 35,Dietitian,Ashanti,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,4,5,4,1,4,Yes,Online Platforms or websites,No,No,Administrative writing,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,10,50,2,3,3,2,4,1,1,1,2,1,Neutral,,LLM hallucinate information and sources ,Laboratory and Radiological diagnostics and reports ,Privacy and on site hosting of client's information 
44,Female,36 – 45,Dietitian,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,4,3,4,2,4,No,Online Platforms or websites,Yes,Yes,Medical information research,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,2,30,4,4,3,3,4,3,2,2,3,3,Neutral,,I rather use a blend of ccl and llms. In that way I am sure of the results I am getting because I can double check,Clinical research and diagnosis identification,
45,Female,36 – 45,Dietitian,Western North,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,4,3,4,2,4,No,Online Platforms or websites,Yes,Yes,Medical information research,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,2,30,4,4,3,3,4,3,2,2,3,3,Neutral,,I rather use a blend of ccl and llms. In that way I am sure of the results I am getting because I can double check,Clinical research and diagnosis identification,
46,Male,26 – 35,Dietitian,Greater Accra,3 – 5 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,3,3,2,2,3,No,"Online Platforms or websites, Mobile apps",Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,1,1,3,4,4,4,4,3,4,4,3,3,Yes,Chatgpt,,Diagnosis,Easy to operate
47,Male,26 – 35,Dietitian,Ashanti,3 – 5 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,3,3,2,2,3,No,"Online Platforms or websites, Mobile apps",Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,1,1,3,4,4,4,4,3,4,4,3,3,Yes,Chatgpt,,Diagnosis,Easy to operate
48,Male,36 – 45,Dietitian,Greater Accra,3 – 5 years,Yes,ChatGPT,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,4,5,5,1,5,Yes,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services",Yes,Maybe,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Language translation",Never,Frequently,Rarely,Rarely,Frequently,Always,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Rarely,Occasionally,240,120,3,4,3,3,4,1,2,3,3,3,Neutral,,,Clinical researches ,They some times give non existing references. Their referencing must be improved 
49,Male,36 – 45,Dietitian,Ashanti,3 – 5 years,Yes,ChatGPT,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,4,5,5,1,5,Yes,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services",Yes,Maybe,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Language translation",Never,Frequently,Rarely,Rarely,Frequently,Always,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Rarely,Occasionally,240,120,3,4,3,3,4,1,2,3,3,3,Neutral,,,Clinical researches ,They some times give non existing references. Their referencing must be improved 
50,Male,26 – 35,Dietitian,Greater Accra,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,4,3,3,2,4,No,"Online Platforms or websites, Mobile apps, Subscription-based services",Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",Rarely,Occasionally,Occasionally,Rarely,Frequently,Occasionally,Occasionally,Always,Always,Frequently,Always,Always,Always,30,30,4,5,4,4,5,2,3,3,4,3,Neutral,,Certainty that your information is coming from the source,Good for research,Source of information should always be cited
51,Male,26 – 35,Dietitian,Brong Ahafo,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,4,3,3,2,4,No,"Online Platforms or websites, Mobile apps, Subscription-based services",Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",Rarely,Occasionally,Occasionally,Rarely,Frequently,Occasionally,Occasionally,Always,Always,Frequently,Always,Always,Always,30,30,4,5,4,4,5,2,3,3,4,3,Neutral,,Certainty that your information is coming from the source,Good for research,Source of information should always be cited
