,Gender,Age,Profession,Region,Work_Experience(yrs),Pre-study Awareness,Models_Used,Participant Understanding Rating,Participant Understanding Rating_encoded,Access,Mode_of_Access,Use_Consideration,Use,Tasks,LLM_Duration(mins),CCL_Duration(mins),Preference,LLM_Adv,CCL_Adv,Impact_Areas,Recommendations,Track_Important_Details,Find_Quick_Answers,Brainstorm_&_Diagnose,Generate_Prescriptions,Summarise_Research_Articles,Create_Educational_Materials,Treatment_Recommendations,CCL_Find_Quick_Answers,CCL_Brainstorm_&_Diagnose,CCL_Generate_Prescriptions,CCL_Summarise_Research_Articles,CCL_Create_Educational_Materials,CCL_Treatment_Recommendations,Understanding_Rate,Understanding_Rate_encoded,Value,Efficiency,Safety,Reliabilty
10,Male,26 – 35,Optometrist,Greater Accra,Less than 3 years,Maybe,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,Yes,Yes,"Medical information research, Administrative writing",30,20,Neutral,,,Telemedicine,,Never,Frequently,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Rarely,Occasionally,"Rarely, Frequently",Occasionally,High,3 -  I know a good amount about LLMs and can talk about it confidently,Agree,Agree,Neutral,Agree
11,Male,26 – 35,Optometrist,Ashanti,Less than 3 years,Maybe,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,Yes,Yes,"Medical information research, Administrative writing",30,20,Neutral,,,Telemedicine,,Never,Frequently,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Rarely,Occasionally,"Rarely, Frequently",Occasionally,High,3 -  I know a good amount about LLMs and can talk about it confidently,Agree,Agree,Neutral,Agree
12,Male,36 – 45,Medical Doctor,Ashanti,More than 10 years,No,"ChatGPT, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,Yes,Yes,Medical information research,30,30,Neutral,,,Research,Establish ethical and legal framework for Use,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Very High,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Strongly Agree,Disagree,Strongly Disagree,Disagree
13,Male,36 – 45,Medical Doctor,Volta,More than 10 years,No,"ChatGPT, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,Yes,Yes,Medical information research,30,30,Neutral,,,Research,Establish ethical and legal framework for Use,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Very High,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Strongly Agree,Disagree,Strongly Disagree,Disagree
14,Female,26 – 35,Psychologist,Greater Accra,6 – 10 years,Maybe,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,No,"Medical information research, Administrative writing, Therapy decision support",5,5,Neutral,,,,,Rarely,Occasionally,Frequently,Rarely,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,Low,1  - I know very little to nothing about LLMs,Agree,Agree,Neutral,Neutral
15,Female,26 – 35,Psychologist,Central,6 – 10 years,Maybe,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,No,"Medical information research, Administrative writing, Therapy decision support",5,5,Neutral,,,,,Rarely,Occasionally,Frequently,Rarely,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,Low,1  - I know very little to nothing about LLMs,Agree,Agree,Neutral,Neutral
16,Female,18 – 25,Medical Doctor,Ashanti,Less than 3 years,Yes,"ChatGPT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Online Platforms or websites,Yes,Yes,Medical information research,5,2,No,,Accurate and evidence-based,Research,Update Clinical Information,Never,Rarely,Never,Never,Never,Never,Never,Occasionally,Never,Rarely,Never,Never,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Disagree,Neutral,Neutral
17,Female,18 – 25,Medical Doctor,Bono East,Less than 3 years,Yes,"ChatGPT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Online Platforms or websites,Yes,Yes,Medical information research,5,2,No,,Accurate and evidence-based,Research,Update Clinical Information,Never,Rarely,Never,Never,Never,Never,Never,Occasionally,Never,Rarely,Never,Never,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Disagree,Neutral,Neutral
18,Female,26 – 35,Medical Doctor,Greater Accra,Less than 3 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,Low,No,"Online Platforms or websites, Mobile apps",No,No,Research work,2,30,Neutral,,,,,Never,Never,Never,Rarely,Occasionally,Never,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,High,3 -  I know a good amount about LLMs and can talk about it confidently,Neutral,Neutral,Neutral,Disagree
19,Female,26 – 35,Medical Doctor,Ashanti,Less than 3 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,Low,No,"Online Platforms or websites, Mobile apps",No,No,Research work,2,30,Neutral,,,,,Never,Never,Never,Rarely,Occasionally,Never,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,High,3 -  I know a good amount about LLMs and can talk about it confidently,Neutral,Neutral,Neutral,Disagree
20,Male,36 – 45,Medical Doctor,Ashanti,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,Maybe,Medical information research,60,30,No,,Accurate and evidence-based,Clinical data processing,A robust clinical governance system,Never,Occasionally,Rarely,Never,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,Occasionally,Occasionally,Frequently,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Disagree,Neutral
21,Male,36 – 45,Medical Doctor,Greater Accra,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,Maybe,Medical information research,60,30,No,,Accurate and evidence-based,Clinical data processing,A robust clinical governance system,Never,Occasionally,Rarely,Never,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,Occasionally,Occasionally,Frequently,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Disagree,Neutral
22,Male,36 – 45,Pharmacist,Bono East,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI, Quillbot",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Medical information research, Administrative writing",10,20,Yes,Information processing and generative capability,,Education and training,,Never,Rarely,Occasionally,Never,Always,Never,Never,Frequently,"Occasionally, Frequently","Never, Rarely",Frequently,Frequently,Frequently,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Neutral,Agree
23,Male,36 – 45,Pharmacist,Ashanti,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI, Quillbot",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Medical information research, Administrative writing",10,20,Yes,Information processing and generative capability,,Education and training,,Never,Rarely,Occasionally,Never,Always,Never,Never,Frequently,"Occasionally, Frequently","Never, Rarely",Frequently,Frequently,Frequently,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Neutral,Agree
24,Male,26 – 35,Nurse,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",180,120,Neutral,,,Cardiology,,Occasionally,Rarely,Occasionally,Never,Never,Rarely,Never,Frequently,Rarely,Frequently,"Never, Always",Occasionally,Frequently,Low,1  - I know very little to nothing about LLMs,Disagree,Disagree,Disagree,Disagree
25,Male,26 – 35,Nurse,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",180,120,Neutral,,,Cardiology,,Occasionally,Rarely,Occasionally,Never,Never,Rarely,Never,Frequently,Rarely,Frequently,"Never, Always",Occasionally,Frequently,Low,1  - I know very little to nothing about LLMs,Disagree,Disagree,Disagree,Disagree
26,Female,26 – 35,Pharmacist,Greater Accra,More than 10 years,Maybe,"ChatGPT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Mobile apps,No,Yes,"Medical information research, Prescription and dosage writing, Therapy decision support",30,60,Neutral,Speed and Efficiency,Trusted and credible,,,Never,Occasionally,Never,Occasionally,Never,Never,Frequently,Always,Frequently,Always,Frequently,Occasionally,Always,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Agree,Agree
27,Male,26 – 35,Pharmacist,Greater Accra,More than 10 years,Maybe,"ChatGPT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Mobile apps,No,Yes,"Medical information research, Prescription and dosage writing, Therapy decision support",30,60,Neutral,Speed and Efficiency,Trusted and credible,,,Never,Occasionally,Never,Occasionally,Never,Never,Frequently,Always,Frequently,Always,Frequently,Occasionally,Always,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Agree,Agree
28,Male,18 – 25,Medical Doctor,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,No,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",5,5,No,,Trusted and credible,,,Never,Occasionally,Occasionally,Never,Occasionally,Never,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Never,Frequently,Very High,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Agree,Agree,Neutral,Agree
29,Male,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,No,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",5,5,No,,Trusted and credible,,,Never,Occasionally,Occasionally,Never,Occasionally,Never,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Never,Frequently,Very High,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Agree,Agree,Neutral,Agree
30,Female,18 – 25,Medical Doctor,Eastern,Less than 3 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,30,180,No,,Trusted and credible,,,Never,Frequently,Frequently,Never,Occasionally,Occasionally,Occasionally,Always,Occasionally,Never,Never,Occasionally,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Agree,Agree,Neutral,Agree
31,Female,18 – 25,Medical Doctor,Ashanti,Less than 3 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,30,180,No,,Trusted and credible,,,Never,Frequently,Frequently,Never,Occasionally,Occasionally,Occasionally,Always,Occasionally,Never,Never,Occasionally,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Agree,Agree,Neutral,Agree
32,Male,26 – 35,Medical Doctor,Ashanti,Less than 3 years,Maybe,"ChatGPT, Microsoft Copilot, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps",No,No,"Medical information research, Prescription and dosage writing, Therapy decision support",30,40,Yes,Speed and Efficiency,,Surgery,,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,High,3 -  I know a good amount about LLMs and can talk about it confidently,Neutral,Neutral,Neutral,Neutral
33,Male,26 – 35,Medical Doctor,Greater Accra,Less than 3 years,Maybe,"ChatGPT, Microsoft Copilot, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps",No,No,"Medical information research, Prescription and dosage writing, Therapy decision support",30,40,Yes,Speed and Efficiency,,Surgery,,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,High,3 -  I know a good amount about LLMs and can talk about it confidently,Neutral,Neutral,Neutral,Neutral
34,Female,18 – 25,Medical Doctor,Central,Less than 3 years,Maybe,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,No,,0,10,Neutral,,,,,Never,Never,Never,Never,Never,Never,Never,"Never, Frequently","Never, Occasionally","Never, Rarely",Never,Never,"Never, Occasionally",Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Neutral,Neutral
35,Female,18 – 25,Medical Doctor,Northern,Less than 3 years,Maybe,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,No,,0,10,Neutral,,,,,Never,Never,Never,Never,Never,Never,Never,"Never, Frequently","Never, Occasionally","Never, Rarely",Never,Never,"Never, Occasionally",Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Neutral,Neutral
36,Male,26 – 35,Optometrist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps",Yes,No,"Medical information research, Diagnosis",30,60,Neutral,,,,,Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Always,Always,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Disagree,Agree
37,Female,26 – 35,Optometrist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps",Yes,No,"Medical information research, Diagnosis",30,60,Neutral,,,,,Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Always,Always,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Disagree,Agree
38,Female,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,No,ChatGPT,1  - I know very little to nothing about LLMs,Low,No,Online Platforms or websites,No,No,Medical information research,30,60,Neutral,,,,,Never,Occasionally,Occasionally,Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Disagree,Neutral
39,Male,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,No,ChatGPT,1  - I know very little to nothing about LLMs,Low,No,Online Platforms or websites,No,No,Medical information research,30,60,Neutral,,,,,Never,Occasionally,Occasionally,Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Disagree,Neutral
40,Female,36 – 45,Dietitian,Greater Accra,6 – 10 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,Yes,Medical information research,10,30,Neutral,,,Research,Stream line information ,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Always,Always,Always,Always,Always,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Neutral,Agree
41,Male,36 – 45,Dietitian,Greater Accra,6 – 10 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,Yes,Medical information research,10,30,Neutral,,,Research,Stream line information ,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Always,Always,Always,Always,Always,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Neutral,Agree
42,Male,26 – 35,Dietitian,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Online Platforms or websites,No,No,Administrative writing,10,50,Neutral,,Data Quality,Diagnostics,Improve Patient Privacy,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Disagree,Strongly Disagree,Strongly Disagree
43,Male,26 – 35,Dietitian,Ashanti,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Online Platforms or websites,No,No,Administrative writing,10,50,Neutral,,Data Quality,Diagnostics,Improve Patient Privacy,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Disagree,Strongly Disagree,Strongly Disagree
44,Female,36 – 45,Dietitian,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,Online Platforms or websites,Yes,Yes,Medical information research,2,30,Neutral,,,Diagnosis,,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,High,3 -  I know a good amount about LLMs and can talk about it confidently,Agree,Agree,Disagree,Neutral
45,Female,36 – 45,Dietitian,Western North,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,Online Platforms or websites,Yes,Yes,Medical information research,2,30,Neutral,,,Diagnosis,,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,High,3 -  I know a good amount about LLMs and can talk about it confidently,Agree,Agree,Disagree,Neutral
46,Male,26 – 35,Dietitian,Greater Accra,3 – 5 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,Low,No,"Online Platforms or websites, Mobile apps",Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",1,1,Yes,,,Diagnosis,Ease of Use,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Low,1  - I know very little to nothing about LLMs,Agree,Agree,Agree,Neutral
47,Male,26 – 35,Dietitian,Ashanti,3 – 5 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,Low,No,"Online Platforms or websites, Mobile apps",Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",1,1,Yes,,,Diagnosis,Ease of Use,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Low,1  - I know very little to nothing about LLMs,Agree,Agree,Agree,Neutral
48,Male,36 – 45,Dietitian,Greater Accra,3 – 5 years,Yes,ChatGPT,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Very High,Yes,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services",Yes,Maybe,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Language translation",240,120,Neutral,,,Research,Improve Hallucination,Never,Frequently,Rarely,Rarely,Frequently,Always,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Rarely,Occasionally,High,3 -  I know a good amount about LLMs and can talk about it confidently,Agree,Neutral,Disagree,Neutral
49,Male,36 – 45,Dietitian,Ashanti,3 – 5 years,Yes,ChatGPT,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Very High,Yes,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services",Yes,Maybe,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Language translation",240,120,Neutral,,,Research,Improve Hallucination,Never,Frequently,Rarely,Rarely,Frequently,Always,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Rarely,Occasionally,High,3 -  I know a good amount about LLMs and can talk about it confidently,Agree,Neutral,Disagree,Neutral
50,Male,26 – 35,Dietitian,Greater Accra,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps, Subscription-based services",Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",30,30,Neutral,,Trusted and credible,Research,Information Referencing,Rarely,Occasionally,Occasionally,Rarely,Frequently,Occasionally,Occasionally,Always,Always,Frequently,Always,Always,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Disagree,Neutral
51,Male,26 – 35,Dietitian,Brong Ahafo,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps, Subscription-based services",Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",30,30,Neutral,,Trusted and credible,Research,Information Referencing,Rarely,Occasionally,Occasionally,Rarely,Frequently,Occasionally,Occasionally,Always,Always,Frequently,Always,Always,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Disagree,Neutral
